"S.No","RMSE","std. RMSE","Meaning_Error","std. Meaning Error","Sentence_Error","std. Sentence Error","leak_rate","spectral_radius","input_scaling"
645,0.5200813518,0.0170437033,0.0745586957,0.0169896729,0.2,0.0361157559,0.11,1.8,2.6
644,0.5191010333,0.0161698819,0.0767210145,0.0164648401,0.202173913,0.0389488541,0.11,1.8,2.5
646,0.5209658073,0.0178687255,0.0766304348,0.0184667128,0.202173913,0.0424330898,0.11,1.8,2.7
468,0.5103269225,0.0129041311,0.0764492754,0.0163304943,0.202173913,0.0275838642,0.07,2.4,2.5
478,0.5109775133,0.0129509968,0.0792572464,0.0144885071,0.2043478261,0.0353219061,0.07,2.5,2.4
557,0.516528262,0.0154403018,0.0777173913,0.0157035021,0.2043478261,0.0425998216,0.09,2.1,2.6
469,0.5108861746,0.0132518921,0.0776268116,0.013635481,0.2043478261,0.0278396706,0.07,2.4,2.6
480,0.5119037064,0.0135622519,0.0801630435,0.0151582378,0.2043478261,0.0310496888,0.07,2.5,2.6
479,0.511397955,0.0132446455,0.0796195652,0.0154859519,0.2043478261,0.0310496888,0.07,2.5,2.5
545,0.5143754379,0.0139827501,0.0788043478,0.0185146346,0.2043478261,0.0447636093,0.09,2,2.5
546,0.5150658339,0.0145628442,0.0783514493,0.0181713374,0.2043478261,0.0447636093,0.09,2,2.6
573,0.5147322171,0.01348956,0.0783514493,0.0164907322,0.2043478261,0.0294883912,0.09,2.3,2
647,0.5219989069,0.018768284,0.0772644928,0.0179980311,0.2043478261,0.0403200804,0.11,1.8,2.8
555,0.5149198048,0.0142274432,0.077173913,0.0171279502,0.2043478261,0.0379034691,0.09,2.1,2.4
568,0.5181823346,0.0163496806,0.0763586957,0.0177963199,0.2043478261,0.0436951114,0.09,2.2,2.6
569,0.5189649208,0.0168253623,0.0763586957,0.016574107,0.2043478261,0.0436951114,0.09,2.2,2.7
567,0.517442867,0.0158737958,0.0762681159,0.0175957936,0.2043478261,0.0366354338,0.09,2.2,2.5
643,0.5181730719,0.0153350587,0.0757246377,0.0157733584,0.2043478261,0.0353219061,0.11,1.8,2.4
579,0.5203205466,0.0176069007,0.0791666667,0.0186259726,0.2065217391,0.0391907747,0.09,2.3,2.6
570,0.5197219066,0.0172703498,0.0783514493,0.0161641009,0.2065217391,0.0415325504,0.09,2.2,2.8
534,0.5135870628,0.013346117,0.0781702899,0.0162945321,0.2065217391,0.0379657591,0.09,1.9,2.5
544,0.5137859903,0.0134578909,0.0779891304,0.0160683912,0.2065217391,0.0353887404,0.09,2,2.4
578,0.5195069611,0.0171499702,0.0777173913,0.0180878405,0.2065217391,0.0379657591,0.09,2.3,2.5
657,0.5227998092,0.0187140311,0.0777173913,0.0185226095,0.2065217391,0.0379657591,0.11,1.9,2.7
661,0.5184125792,0.0147668676,0.0772644928,0.0177501568,0.2065217391,0.0391907747,0.11,2,2
593,0.5243400904,0.0195918229,0.0860507246,0.0231040415,0.2086956522,0.0414756175,0.09,2.4,2.9
589,0.5211143337,0.0181852521,0.0816123188,0.0215703365,0.2086956522,0.047826087,0.09,2.4,2.5
470,0.5112611481,0.0135904671,0.08125,0.0169993286,0.2086956522,0.0353219061,0.07,2.4,2.7
667,0.5246219076,0.0194471476,0.0807971014,0.0192225426,0.2086956522,0.0436951114,0.11,2,2.6
482,0.5131857417,0.0143807054,0.080615942,0.0160609857,0.2086956522,0.0325361512,0.07,2.5,2.8
554,0.5142817351,0.0136752681,0.0788043478,0.016379657,0.2086956522,0.0339576073,0.09,2.1,2.3
558,0.517114819,0.0159027461,0.0788043478,0.0162690842,0.2086956522,0.0310496888,0.09,2.1,2.7
547,0.515970654,0.0152856591,0.0786231884,0.0176423606,0.2086956522,0.0425998216,0.09,2,2.7
580,0.5211166376,0.0180154006,0.0786231884,0.018558012,0.2086956522,0.0403200804,0.09,2.3,2.7
574,0.5156647849,0.014436973,0.0785326087,0.0157569648,0.2086956522,0.0294883912,0.09,2.3,2.1
632,0.51726125,0.0143845505,0.0778985507,0.016534209,0.2086956522,0.0242076711,0.11,1.7,2.4
467,0.51003791,0.0126468259,0.0777173913,0.0153012699,0.2086956522,0.0310496888,0.07,2.4,2.4
642,0.5171744723,0.0144307352,0.077173913,0.0154187847,0.2086956522,0.0310496888,0.11,1.8,2.3
594,0.5251520789,0.0198703807,0.0862318841,0.0218700766,0.2086956522,0.0391304348,0.09,2.4,3
662,0.5195037156,0.0158007707,0.0761775362,0.0190366143,0.2086956522,0.0391304348,0.11,2,2.1
601,0.5227704975,0.0192994836,0.0839673913,0.0239790002,0.2108695652,0.0476776352,0.09,2.5,2.6
588,0.5201449583,0.0176125542,0.081884058,0.0207314775,0.2108695652,0.0377159817,0.09,2.4,2.4
483,0.5139544632,0.0149162082,0.0811594203,0.0161028205,0.2108695652,0.0337482059,0.07,2.5,2.9
582,0.5226097842,0.0186898882,0.0810688406,0.0152661078,0.2108695652,0.0364414231,0.09,2.3,2.9
471,0.5119039184,0.0140666587,0.0809782609,0.0184133201,0.2108695652,0.03512064,0.07,2.4,2.8
477,0.5106448842,0.0126618167,0.0798007246,0.014455625,0.2108695652,0.0389488541,0.07,2.5,2.3
559,0.5179445225,0.0164950636,0.0793478261,0.0158563657,0.2108695652,0.0308205367,0.09,2.1,2.8
587,0.5190823088,0.0169399082,0.0792572464,0.0191260511,0.2108695652,0.0337482059,0.09,2.4,2.3
533,0.5131614971,0.012875081,0.0791666667,0.0148738393,0.2108695652,0.0337482059,0.09,1.9,2.4
